City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Chuy,UY,2022-05-06 02:03:06,-33.6971,-53.4616,54.68,83,54,4.68
68,Riviere-Au-Renard,CA,2022-05-06 02:03:11,48.9957,-64.3971,37.0,74,53,15.32
69,Zhezkazgan,KZ,2022-05-06 02:03:12,47.8043,67.7144,55.38,76,20,6.71
70,Hithadhoo,MV,2022-05-06 02:03:14,-0.6,73.0833,84.38,74,100,15.43
71,Upernavik,GL,2022-05-06 02:03:16,72.7868,-56.1549,2.55,94,58,4.9
72,Dingle,PH,2022-05-06 02:03:17,10.9995,122.6711,87.87,62,98,11.18
73,Thomaston,US,2022-05-06 02:02:18,32.8882,-84.3266,79.11,70,0,3.44
74,Bawku,GH,2022-05-06 02:03:22,11.0616,-0.2417,86.7,45,90,6.8
75,Nouadhibou,MR,2022-05-06 02:03:25,20.931,-17.0347,64.42,84,39,17.11
76,Santa Cruz De Tenerife,ES,2022-05-06 02:03:27,28.4682,-16.2546,64.72,88,0,8.05
77,Rio Gallegos,AR,2022-05-06 02:02:54,-51.6226,-69.2181,43.18,62,65,31.38
78,Talara,PE,2022-05-06 02:03:30,-4.5772,-81.2719,67.64,85,99,13.71
79,Cidreira,BR,2022-05-06 02:03:31,-30.1811,-50.2056,63.28,68,63,5.39
80,Berlevag,NO,2022-05-06 02:03:33,70.8578,29.0864,35.4,91,100,12.06
81,Mogadishu,SO,2022-05-06 02:03:35,2.0371,45.3438,80.92,81,84,13.82
82,Ilulissat,GL,2022-05-06 02:03:36,69.2167,-51.1,19.42,63,3,0.0
83,Marechal Candido Rondon,BR,2022-05-06 02:03:30,-24.5561,-54.0567,60.96,87,52,3.62
84,Paamiut,GL,2022-05-06 02:03:39,61.994,-49.6678,32.11,82,100,8.5
85,Aljezur,PT,2022-05-06 02:03:41,37.3191,-8.8033,58.17,78,0,6.71
86,Hearst,CA,2022-05-06 01:59:02,49.6835,-83.6665,41.47,81,100,5.97
87,Solwezi,ZM,2022-05-06 02:03:44,-12.1688,26.3894,54.09,94,100,3.94
88,Kindia,GN,2022-05-06 02:03:45,10.0569,-12.8658,75.52,66,66,3.22
89,Qaanaaq,GL,2022-05-06 02:03:47,77.484,-69.3632,12.11,76,13,7.49
90,Eenhana,NA,2022-05-06 02:03:49,-17.4667,16.3333,56.89,52,0,6.6
91,Kindu,CD,2022-05-06 02:00:35,-2.95,25.95,68.76,99,99,1.83
92,Saint-Denis,FR,2022-05-06 02:03:52,48.9167,2.3333,53.11,85,0,8.05
93,Hobyo,SO,2022-05-06 02:03:53,5.3505,48.5268,81.91,80,13,13.18
94,Yelan-Koleno,RU,2022-05-06 02:03:55,51.1523,41.2306,36.66,68,7,5.64
95,Zhanaozen,KZ,2022-05-06 02:03:56,43.3,52.8,63.79,65,100,18.43
96,Macusani,PE,2022-05-06 02:03:58,-14.0833,-70.4333,35.06,91,74,1.12
97,Gordeyevka,RU,2022-05-06 02:04:00,52.9569,31.9703,38.44,76,53,6.17
98,Mashhad,IR,2022-05-06 02:01:20,36.297,59.6062,62.74,82,0,6.91
99,Saint-Augustin,CA,2022-05-06 02:04:03,51.226,-58.6502,36.45,75,43,6.31
100,Yenagoa,NG,2022-05-06 02:04:04,4.9247,6.2642,77.07,95,100,2.77
101,Grindavik,IS,2022-05-06 02:04:06,63.8424,-22.4338,36.9,80,40,18.41
102,Lagos,NG,2022-05-06 02:04:07,6.5833,3.75,77.72,92,100,4.72
103,Saint-Pierre,RE,2022-05-06 02:00:14,-21.3393,55.4781,76.68,78,20,26.46
104,Shelburne,CA,2022-05-06 02:04:10,44.0787,-80.2041,49.3,74,100,3.6
105,Valparaiso,CL,2022-05-06 02:04:12,-33.0393,-71.6273,57.47,85,100,2.3
106,Opuwo,NA,2022-05-06 02:04:14,-18.0607,13.84,61.61,41,0,7.65
107,Talcahuano,CL,2022-05-06 02:04:15,-36.7167,-73.1167,53.28,94,100,5.75
108,Faya,SA,2022-05-06 02:04:17,18.3851,42.4509,64.92,43,75,3.96
109,Jalu,LY,2022-05-06 02:04:22,29.0331,21.5482,68.4,28,0,10.38
110,Vagur,FO,2022-05-06 02:04:23,61.4732,-6.8119,47.37,96,100,27.6
111,Arlit,NE,2022-05-06 02:04:25,18.7369,7.3853,89.17,13,10,6.93
112,Carnarvon,AU,2022-05-06 02:04:27,-24.8667,113.6333,77.59,37,0,14.34
113,Mehamn,NO,2022-05-06 02:04:28,71.0357,27.8492,36.01,90,100,13.09
114,Shediac,CA,2022-05-06 02:04:30,46.2198,-64.5411,41.09,84,80,4.27
115,Olinda,BR,2022-05-06 02:04:31,-8.0089,-34.8553,82.13,74,40,9.22
116,Goderich,CA,2022-05-06 02:03:46,43.7501,-81.7165,47.91,78,100,6.62
117,Muros,ES,2022-05-06 02:04:34,42.7762,-9.0603,54.84,75,12,9.71
118,Jijiga,ET,2022-05-06 02:04:38,9.35,42.8,64.11,78,6,5.37
119,Iracoubo,GF,2022-05-06 02:04:41,5.4802,-53.2011,78.12,88,100,8.68
120,Saint Anthony,US,2022-05-06 02:00:21,45.0205,-93.218,60.73,52,40,0.0
121,Aksehir,TR,2022-05-06 02:04:44,38.3575,31.4164,39.87,85,7,6.46
122,Ormara,PK,2022-05-06 02:04:46,25.2088,64.6357,79.88,71,0,7.56
123,Saint-Philippe,RE,2022-05-06 02:04:47,-21.3585,55.7679,76.59,86,55,16.06
124,Cairo,EG,2022-05-06 02:00:23,30.0626,31.2497,61.56,72,0,10.36
125,Luderitz,NA,2022-05-06 02:04:50,-26.6481,15.1594,59.45,78,0,9.35
126,Qurayyat,SA,2022-05-06 02:04:52,31.3318,37.3428,56.59,63,36,15.66
127,Santa Rosa,PH,2022-05-06 02:00:17,14.3122,121.1114,93.09,66,17,8.75
128,Nanortalik,GL,2022-05-06 02:04:55,60.1432,-45.2371,34.39,92,100,14.65
129,Belvedere Marittimo,IT,2022-05-06 02:04:56,39.6179,15.8617,61.39,75,100,9.78
130,Porto Novo,BJ,2022-05-06 02:04:58,6.4965,2.6036,79.63,84,95,4.79
131,Olavarria,AR,2022-05-06 02:05:00,-36.8927,-60.3225,55.02,78,100,7.0
132,Saint-Francois,FR,2022-05-06 02:05:03,46.4154,3.9054,45.84,93,14,2.3
133,Saint George,US,2022-05-06 02:05:04,37.1041,-113.5841,83.95,12,0,6.91
134,Itarema,BR,2022-05-06 02:05:06,-2.9248,-39.9167,75.09,91,44,9.17
135,Escanaba,US,2022-05-06 02:05:08,45.7453,-87.0646,48.25,71,0,3.44
136,Teguise,ES,2022-05-06 02:05:09,29.0605,-13.564,61.02,82,0,17.27
137,Nagornskiy,RU,2022-05-06 02:05:11,58.7731,57.5451,26.78,76,6,8.9
138,Garowe,SO,2022-05-06 02:05:12,8.4054,48.4845,81.0,64,3,3.04
139,Cabanas,CU,2022-05-06 02:05:14,22.9758,-82.9219,77.94,78,6,7.67
140,Pau Brasil,BR,2022-05-06 02:05:16,-15.4642,-39.6511,69.78,98,6,2.3
141,Laureles,US,2022-05-06 02:05:17,26.1092,-97.4941,83.1,69,0,13.8
142,Najran,SA,2022-05-06 02:05:19,17.4924,44.1277,76.17,41,3,4.85
143,Pretoria,ZA,2022-05-06 02:05:20,-25.7449,28.1878,54.84,42,0,2.91
144,Necochea,AR,2022-05-06 02:05:22,-38.5473,-58.7368,55.89,69,85,11.72
145,Empangeni,ZA,2022-05-06 02:05:24,-28.762,31.8933,59.85,91,1,4.12
146,Ferkessedougou,CI,2022-05-06 02:05:25,9.6,-5.2,79.03,66,43,7.65
147,Aguimes,ES,2022-05-06 02:05:27,27.9054,-15.4461,61.43,77,20,17.27
148,Kajaani,FI,2022-05-06 02:00:56,64.2273,27.7285,42.85,70,0,6.91
149,Padang,ID,2022-05-06 02:05:30,-0.9492,100.3543,82.45,79,100,4.05
150,Le Port,RE,2022-05-06 02:05:31,-20.9373,55.2919,77.0,79,16,9.13
151,Pokhara,NP,2022-05-06 02:05:33,28.2333,83.9833,70.36,78,74,1.68
152,Sassandra,CI,2022-05-06 02:05:35,4.95,-6.0833,79.12,87,67,2.53
153,Syedove,UA,2022-05-06 02:05:36,47.0768,38.156,51.94,54,100,21.85
154,Bulawayo,ZW,2022-05-06 02:05:39,-20.15,28.5833,52.7,80,1,4.65
155,Tasiilaq,GL,2022-05-06 02:05:41,65.6145,-37.6368,23.16,71,11,5.82
156,Sao Filipe,CV,2022-05-06 02:05:42,14.8961,-24.4956,71.76,82,17,5.5
157,Sisimiut,GL,2022-05-06 02:05:44,66.9395,-53.6735,20.7,66,0,9.53
158,Pisco,PE,2022-05-06 02:05:46,-13.7,-76.2167,63.01,88,0,14.97
159,Razlog,BG,2022-05-06 02:05:47,41.8863,23.4671,46.29,87,1,2.64
160,Buenos Aires,AR,2022-05-06 02:05:16,-34.6132,-58.3772,62.33,91,0,3.44
161,Cusset,FR,2022-05-06 02:05:50,46.13,3.4596,52.14,99,42,1.54
162,Novoagansk,RU,2022-05-06 02:05:52,61.9449,76.6625,31.6,97,100,12.06
163,Visby,SE,2022-05-06 02:05:55,57.6409,18.296,41.22,87,79,4.61
164,Geraldton,AU,2022-05-06 02:05:56,-28.7667,114.6,66.61,34,0,26.46
165,Cap-Aux-Meules,CA,2022-05-06 02:05:58,47.3821,-61.8597,37.65,78,60,20.15
166,Aripuana,BR,2022-05-06 02:06:00,-9.1667,-60.6333,72.7,92,84,1.66
167,Maldonado,UY,2022-05-06 02:02:18,-34.6667,-54.9167,56.23,88,72,5.57
168,Bonavista,CA,2022-05-06 02:06:03,48.6499,-53.1147,39.36,98,100,9.04
169,Bideford,GB,2022-05-06 02:06:04,51.0179,-4.2046,52.32,95,45,4.79
170,Mahebourg,MU,2022-05-06 02:06:06,-20.4081,57.7,75.49,88,40,18.41
171,Nizwa,OM,2022-05-06 02:06:07,22.9333,57.5333,78.26,28,0,2.26
172,Klaksvik,FO,2022-05-06 02:06:09,62.2266,-6.589,49.12,95,100,19.95
173,Aksu,CN,2022-05-06 02:06:11,41.1231,80.2644,76.35,25,76,6.02
174,Helensburgh,GB,2022-05-06 02:06:12,56.0061,-4.7265,54.41,97,100,5.26
175,Rio Branco,BR,2022-05-06 02:05:26,-9.9747,-67.81,72.21,88,0,0.0
176,Kasempa,ZM,2022-05-06 02:06:15,-13.4584,25.8338,55.8,86,39,4.85
177,Banepa,NP,2022-05-06 02:06:17,27.6298,85.5214,62.92,94,75,4.61
178,Tessalit,ML,2022-05-06 02:06:19,20.1986,1.0114,87.87,14,100,11.45
179,Veinticinco De Mayo,AR,2022-05-06 02:06:20,-35.4323,-60.1727,54.99,74,1,7.9
180,Moyale,KE,2022-05-06 02:06:22,3.5167,39.0584,64.24,89,10,2.01
181,Norrtalje,SE,2022-05-06 02:06:24,59.758,18.705,47.43,92,21,5.86
182,Tetouan,MA,2022-05-06 02:06:25,35.5711,-5.3724,57.22,79,0,4.25
183,Muisne,EC,2022-05-06 02:06:27,0.6,-80.0333,75.72,83,100,3.62
184,Kruisfontein,ZA,2022-05-06 02:06:29,-34.0033,24.7314,58.44,71,6,6.91
185,Ginda,IN,2022-05-06 02:06:30,30.6945,78.4932,67.41,46,54,1.92
186,Malanje,AO,2022-05-06 02:06:32,-9.5402,16.341,62.78,78,87,3.24
187,Pueblo Rico,CO,2022-05-06 02:06:33,5.2383,-76.0364,62.83,99,100,1.79
188,Jaciara,BR,2022-05-06 02:02:41,-15.9653,-54.9683,61.75,53,0,3.02
189,Vardo,NO,2022-05-06 02:06:36,70.3705,31.1107,35.15,96,100,14.9
190,Kastamonu,TR,2022-05-06 02:02:09,41.5,33.6667,42.37,95,100,5.41
191,Komsomolskiy,UZ,2022-05-06 02:06:39,40.4272,71.7189,66.92,68,100,2.3
192,Sur,OM,2022-05-06 02:06:41,22.5667,59.5289,80.96,54,0,6.38
193,Malaryta,BY,2022-05-06 02:06:43,51.7905,24.074,47.91,73,100,7.29
194,Jackson,US,2022-05-06 02:00:29,42.4165,-122.8345,58.86,85,100,1.43
195,Corrente,BR,2022-05-06 02:06:46,-3.7367,-43.3394,73.26,97,99,2.39
196,Conde,BR,2022-05-06 02:01:59,-7.2597,-34.9075,76.37,85,100,7.72
197,Gualeguay,AR,2022-05-06 02:06:49,-33.1416,-59.3097,55.62,92,0,6.44
198,Castro,BR,2022-05-06 02:06:50,-24.7911,-50.0119,55.26,92,5,2.37
199,Llanes,ES,2022-05-06 02:06:52,43.4198,-4.7549,54.43,74,0,2.66
200,Oranjemund,NA,2022-05-06 02:06:54,-28.55,16.4333,55.92,96,2,4.5
201,Geilo,NO,2022-05-06 02:06:55,60.5333,8.2076,38.39,79,22,7.52
202,Margate,GB,2022-05-06 02:06:57,51.3813,1.3862,51.69,79,22,1.99
203,Kosh-Agach,RU,2022-05-06 02:06:58,50.0,88.6667,46.87,57,100,1.32
204,Marsh Harbour,BS,2022-05-06 02:07:00,26.5412,-77.0636,76.57,76,0,3.15
205,Sikeston,US,2022-05-06 02:07:02,36.8767,-89.5879,64.44,94,100,3.44
206,Kamina,CD,2022-05-06 02:07:03,-8.7386,24.9906,61.12,86,16,3.2
207,Raudeberg,NO,2022-05-06 02:07:05,61.9875,5.1352,47.86,85,100,22.15
208,Manta,EC,2022-05-06 02:03:41,-0.95,-80.7333,72.99,85,93,3.6
209,Merritt Island,US,2022-05-06 02:05:18,28.5392,-80.672,81.09,79,0,9.22
210,Quimper,FR,2022-05-06 02:07:10,48.0,-4.1,48.78,93,0,3.44
211,Goedereede,NL,2022-05-06 02:07:12,51.8175,3.9806,52.0,86,72,4.65
212,Dolgorukovo,RU,2022-05-06 02:07:14,52.3195,38.3453,37.04,60,23,4.23
213,Illela,NG,2022-05-06 02:07:15,13.7292,5.2975,86.5,45,91,7.61
214,Arona,ES,2022-05-06 02:07:17,28.0996,-16.681,57.83,72,40,9.22
215,Gambela,ET,2022-05-06 02:07:19,8.25,34.5833,72.66,84,95,3.58
216,Albany,US,2022-05-06 02:07:20,42.6001,-73.9662,55.81,62,100,4.74
217,Sundumbili,ZA,2022-05-06 02:07:22,-29.1337,31.3975,61.57,66,0,4.85
218,San Rafael,AR,2022-05-06 02:03:42,-34.6177,-68.3301,58.28,42,0,2.17
219,Elizabeth City,US,2022-05-06 02:07:25,36.2946,-76.2511,64.02,88,100,10.36
220,Beloha,MG,2022-05-06 02:07:26,-25.1667,45.05,68.16,80,3,9.62
221,Malakal,SS,2022-05-06 02:07:28,9.5334,31.6605,84.11,50,99,3.78
222,Bud,US,2022-05-06 02:07:30,39.447,-86.1758,57.22,97,100,12.95
223,Mozarlandia,BR,2022-05-06 02:07:31,-14.7447,-50.5706,74.5,65,1,5.32
224,Zaysan,KZ,2022-05-06 02:07:33,47.4667,84.8667,62.47,50,100,3.15
225,Lircay,PE,2022-05-06 02:07:34,-12.9896,-74.7205,45.64,89,46,3.06
226,Karpathos,GR,2022-05-06 02:07:36,35.507,27.2132,64.36,63,0,11.5
227,Hualmay,PE,2022-05-06 02:07:38,-11.0964,-77.6139,64.42,89,26,9.69
228,Cayenne,GF,2022-05-06 02:07:39,4.9333,-52.3333,81.09,1,75,3.0
229,Ocala,US,2022-05-06 02:06:16,29.1872,-82.1401,80.96,76,0,0.0
230,Aleksandro-Nevskiy,RU,2022-05-06 02:07:42,53.4751,40.2095,36.09,67,51,4.38
231,Tsogni,GA,2022-05-06 02:07:44,-2.7942,10.0988,76.96,94,100,5.73
232,Brae,GB,2022-05-06 02:07:46,60.3964,-1.353,49.64,97,100,21.3
233,Peniche,PT,2022-05-06 02:07:47,39.3558,-9.3811,58.28,92,1,6.33
234,Caravelas,BR,2022-05-06 02:07:49,-17.7125,-39.2481,79.27,82,1,10.54
235,Jacareacanga,BR,2022-05-06 02:07:50,-6.2222,-57.7528,73.62,99,70,1.77
236,Husavik,IS,2022-05-06 02:07:52,66.0449,-17.3389,32.11,96,100,24.61
237,Naryan-Mar,RU,2022-05-06 02:07:54,67.6713,53.087,16.07,87,53,8.55
