City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1694,Dori,BF,89.37,clear sky,14.0354,-0.0345,
1697,Bonfim,BR,79.97,overcast clouds,3.0833,-59.95,
1698,Mangrol,IN,81.18,broken clouds,21.1167,70.1167,
1699,Rameswaram,IN,86.52,moderate rain,9.2833,79.3,
1702,Jhansi,IN,87.64,clear sky,25.4333,78.5833,
1706,Nicoya,CR,81.9,broken clouds,10.1483,-85.452,
1714,Manaus,BR,79.3,clear sky,-3.1019,-60.025,
1715,El Sauce,NI,81.75,overcast clouds,12.8869,-86.539,
1721,Atrauli,IN,85.08,clear sky,28.0333,78.2833,
1723,Isla Mujeres,MX,82.45,clear sky,21.2311,-86.731,
1730,Kongoussi,BF,88.83,few clouds,13.3258,-1.5347,
1732,Parambu,BR,79.05,overcast clouds,-6.2111,-40.6944,
1734,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,
1735,Jawhar,SO,77.65,overcast clouds,2.7809,45.5005,
1741,Ormara,PK,81.45,clear sky,25.2088,64.6357,
1746,Hatillo,PR,82.02,few clouds,18.4863,-66.8254,
1747,La Primavera,CO,78.73,broken clouds,5.4906,-70.4092,
1750,Ayorou,NE,87.8,clear sky,14.7308,0.9174,
1757,Roxana,CR,81.03,broken clouds,10.2753,-83.7513,
1761,Edea,CM,75.76,overcast clouds,3.8,10.1333,
1764,Iranduba,BR,79.12,broken clouds,-3.2847,-60.1861,
1768,Begowal,IN,80.76,clear sky,31.6167,75.5167,
1770,Lafiagi,NG,77.7,overcast clouds,8.8667,5.4167,
1773,Ukwa,IN,75.85,few clouds,21.9667,80.4667,
1775,Ipanguacu,BR,77.99,heavy intensity rain,-5.4983,-36.855,
1779,Maine-Soroa,NE,85.78,scattered clouds,13.2114,12.0241,
1781,Anuradhapura,LK,79.99,overcast clouds,8.3565,80.4173,
1788,Sann,PK,78.71,clear sky,26.0418,68.1378,
1789,Lucea,JM,82.26,broken clouds,18.451,-78.1736,
1793,Totness,SR,77.63,overcast clouds,5.8833,-56.3167,
1796,Isabela,PH,78.85,moderate rain,6.7085,121.9711,
1797,Chunhuhub,MX,88.5,broken clouds,19.55,-88.6833,
1798,Macara,EC,76.17,broken clouds,-4.3833,-79.95,
1802,Gadwal,IN,86.52,overcast clouds,16.2333,77.8,
1807,Gola Gokarannath,IN,83.1,clear sky,28.0833,80.4667,
1813,Tambacounda,SN,86.05,clear sky,13.7539,-13.7586,
1815,Xique-Xique,BR,81.18,broken clouds,-10.8218,-42.7263,
1823,Lamu,KE,80.82,scattered clouds,-2.2717,40.902,
1829,Bata,GQ,80.24,moderate rain,1.8639,9.7658,
1831,Banfora,BF,83.48,broken clouds,10.6333,-4.7667,
1837,Arima,TT,81.63,few clouds,10.6333,-61.2833,
1840,Oeiras,BR,82.4,overcast clouds,-7.0253,-42.1311,
1841,Alappuzha,IN,80.02,moderate rain,9.49,76.3264,
1843,Rosa Zarate,EC,75.49,light rain,0.3333,-79.4667,
1851,Aracati,BR,79.92,overcast clouds,-4.5617,-37.7697,
