City_ID,City,Country,Max Temp,Description,Lat,Lng,Humidity,Cloudiness,Wind Speed
68,Sao Filipe,CV,71.64,few clouds,14.8961,-24.4956,83,23,7.85
69,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,98,90,3.31
70,Villablino,ES,63.5,overcast clouds,42.9393,-6.3194,69,96,1.01
71,Tikhvin,RU,31.12,clear sky,59.6451,33.5294,85,0,2.64
72,Neuquen,AR,49.89,clear sky,-38.9516,-68.0591,62,0,3.44
73,Itum-Kale,RU,39.7,broken clouds,42.7356,45.5758,85,56,5.97
74,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,78,20,12.66
75,Melilla,ES,66.58,clear sky,35.2937,-2.9383,72,0,2.3
76,Wicklow,IE,47.46,overcast clouds,53.0,-6.4167,87,100,8.01
77,Karasjok,NO,35.67,overcast clouds,69.4719,25.5112,99,100,5.39
78,Port-Gentil,GA,82.36,scattered clouds,-0.7193,8.7815,83,40,5.75
79,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,83,20,26.46
80,Chadiza,ZM,61.74,clear sky,-14.0678,32.4392,79,2,1.86
81,Jamestown,US,73.04,clear sky,42.097,-79.2353,16,0,3.44
82,Mlimba,TZ,69.53,clear sky,-8.8,35.8167,86,6,3.09
83,Pucallpa,PE,87.84,few clouds,-8.3791,-74.5539,55,20,3.44
84,Ploemeur,FR,60.82,mist,47.7333,-3.4333,87,100,4.61
85,Urut,AM,38.23,overcast clouds,41.0714,44.3964,89,93,2.13
86,Gorshechnoye,RU,37.38,clear sky,51.5244,38.0365,71,4,12.28
87,Nouadhibou,MR,67.98,overcast clouds,20.931,-17.0347,88,96,21.85
88,Caravelas,BR,73.04,few clouds,-17.7125,-39.2481,78,22,11.12
89,Qaanaaq,GL,16.14,scattered clouds,77.484,-69.3632,69,25,4.99
90,Lagoa,PT,62.15,broken clouds,39.05,-27.9833,86,69,1.86
91,Lesnikovo,RU,50.92,broken clouds,55.2822,65.3175,47,73,11.83
92,Chipinge,ZW,57.24,clear sky,-20.1883,32.6236,89,2,1.32
93,Marystown,CA,43.86,scattered clouds,47.1666,-55.1483,100,37,4.81
94,Gijon,ES,66.25,overcast clouds,43.5357,-5.6615,92,99,3.0
95,San Rafael,AR,60.76,few clouds,-34.6177,-68.3301,52,22,3.31
96,Iralaya,HN,80.94,overcast clouds,15.0,-83.2333,77,96,9.33
97,Humberto De Campos,BR,73.36,moderate rain,-2.5983,-43.4611,97,100,2.95
98,Gandorhun,SL,75.34,light rain,7.5,-11.8333,95,94,3.29
99,Hegra,NO,48.11,clear sky,63.4644,11.114,66,0,3.44
100,Kyabe,TD,83.48,overcast clouds,9.4515,18.9449,53,85,4.63
101,Raudeberg,NO,47.07,light rain,61.9875,5.1352,66,100,30.02
102,Altay,CN,48.7,clear sky,47.8667,88.1167,26,3,4.83
103,Fershampenuaz,RU,51.75,overcast clouds,53.5202,59.8117,37,96,17.27
104,Sibenik,HR,62.26,scattered clouds,43.7272,15.9058,71,48,4.83
105,Midland,US,101.07,clear sky,31.9974,-102.0779,4,0,19.57
106,Bredasdorp,ZA,52.7,broken clouds,-34.5322,20.0403,82,81,4.68
107,Sucre,BO,56.1,scattered clouds,-19.0333,-65.2627,69,34,6.17
108,Kadoshkino,RU,36.43,overcast clouds,54.0257,44.4191,93,100,15.82
109,Axim,GH,80.42,overcast clouds,4.8699,-2.2405,83,90,5.93
110,Kanniyakumari,IN,81.82,light rain,8.0833,77.5667,82,100,26.02
111,Punta Arenas,CL,42.91,few clouds,-53.15,-70.9167,75,20,2.3
112,Araouane,ML,80.04,clear sky,18.9048,-3.5265,6,1,11.39
113,Gat,IL,70.39,clear sky,31.61,34.7642,76,0,5.55
114,Middelburg,ZA,50.7,clear sky,-25.7751,29.4648,52,0,4.56
115,Dikson,RU,12.2,scattered clouds,73.5069,80.5464,90,33,14.18
116,Anloga,GH,82.58,overcast clouds,5.7947,0.8973,80,87,12.59
117,Bolobo,CD,72.14,broken clouds,-2.1667,16.2333,96,65,1.97
118,Natal,BR,77.22,few clouds,-5.795,-35.2094,88,20,6.91
119,Maltahohe,NA,54.43,clear sky,-24.8333,16.9833,30,0,1.41
120,Jimma,ET,59.5,broken clouds,7.6667,36.8333,92,58,2.57
121,Bara,NG,77.9,overcast clouds,10.3744,10.7288,71,86,12.55
122,Norrtalje,SE,47.01,broken clouds,59.758,18.705,71,83,6.17
123,Thinadhoo,MV,84.67,few clouds,0.5333,72.9333,77,24,20.76
124,Impfondo,CG,72.7,overcast clouds,1.6381,18.0667,90,92,2.39
125,Puerto Ayacucho,VE,77.92,overcast clouds,5.6639,-67.6236,86,99,2.68
126,Port Elizabeth,ZA,55.31,clear sky,-33.918,25.5701,99,0,3.44
127,Aleksandriyskaya,RU,47.03,broken clouds,44.2272,43.3453,71,56,10.02
128,Aranda De Duero,ES,55.2,broken clouds,41.6704,-3.6892,57,65,7.05
129,Cascais,PT,63.05,overcast clouds,38.6979,-9.4215,65,91,15.01
130,Djibo,BF,86.31,clear sky,14.1022,-1.6306,6,9,9.4
131,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,94,40,3.44
132,Umm Lajj,SA,83.12,overcast clouds,25.0213,37.2685,41,98,9.84
133,Hingorja,PK,84.85,clear sky,27.2109,68.416,54,0,7.9
134,Narsaq,GL,46.62,few clouds,60.9167,-46.05,84,24,2.82
135,Stephenville Crossing,CA,46.53,few clouds,48.5,-58.4318,42,20,5.75
136,Jucas,BR,75.7,scattered clouds,-6.5253,-39.5275,57,32,3.67
137,Chabahar,IR,81.1,clear sky,25.2919,60.643,71,0,14.47
138,Bengkulu,ID,78.26,overcast clouds,-3.8004,102.2655,82,95,2.48
139,Engis,BE,63.48,clear sky,50.5816,5.3992,67,0,3.44
140,Clyde River,CA,21.43,light snow,70.4692,-68.5914,86,100,25.32
141,Rusape,ZW,56.26,few clouds,-18.5278,32.1284,74,21,4.92
142,Nanortalik,GL,34.32,scattered clouds,60.1432,-45.2371,87,26,3.22
143,Havelock,US,64.4,clear sky,34.8791,-76.9013,54,0,14.97
144,Port Blair,IN,83.17,overcast clouds,11.6667,92.75,81,99,15.7
145,Kondinskoye,RU,48.6,clear sky,59.6481,67.41,62,4,6.06
146,Hobyo,SO,82.29,overcast clouds,5.3505,48.5268,66,87,14.18
147,Tokonou,GN,72.5,light rain,9.65,-9.7833,85,100,5.17
148,Chapais,CA,62.38,overcast clouds,49.7834,-74.8492,69,97,5.97
149,Stanger,ZA,60.69,scattered clouds,-29.3282,31.2895,88,31,4.92
150,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,94,40,3.44
151,Mogadishu,SO,81.07,overcast clouds,2.0371,45.3438,87,100,17.83
152,Yar-Sale,RU,32.23,overcast clouds,66.8333,70.8333,99,100,8.84
153,Sakaraha,MG,60.96,few clouds,-22.9,44.5333,97,12,0.85
154,Mitu,CO,73.38,overcast clouds,1.1983,-70.1733,96,97,1.36
155,Padang,ID,79.93,overcast clouds,-0.9492,100.3543,83,85,2.89
156,Remanso,BR,81.28,broken clouds,-9.6179,-42.0831,49,72,10.2
157,Laguna De Perlas,NI,84.29,few clouds,12.3429,-83.6712,80,17,8.1
158,Vestmannaeyjar,IS,46.09,overcast clouds,63.4427,-20.2734,82,100,4.07
159,Iqaluit,CA,33.53,overcast clouds,63.7506,-68.5145,80,100,4.61
160,Bandarbeyla,SO,81.99,light rain,9.4942,50.8122,83,85,1.99
161,Loandjili,CG,80.71,few clouds,-4.7561,11.8578,89,20,4.61
162,Angul,IN,79.68,broken clouds,20.85,85.1,80,72,4.32
163,Rocha,UY,55.17,overcast clouds,-34.4833,-54.3333,93,98,2.77
164,Ilulissat,GL,24.82,light shower snow,69.2167,-51.1,86,75,25.32
165,Fontenay-Le-Comte,FR,62.24,overcast clouds,46.5833,-1.0,81,93,3.71
166,Laguna,US,65.1,broken clouds,38.421,-121.4238,36,75,20.71
167,Talnakh,RU,36.21,light rain,69.4865,88.3972,99,100,12.33
168,Galle,LK,81.79,overcast clouds,6.0367,80.217,85,100,16.15
169,Sturgeon Bay,US,69.78,overcast clouds,44.8342,-87.377,48,100,23.02
170,Odweyne,SO,76.95,scattered clouds,9.4092,45.064,30,43,7.87
171,Iskateley,RU,21.56,few clouds,67.6803,53.1512,87,14,10.09
172,Pangnirtung,CA,25.3,overcast clouds,66.1451,-65.7125,91,99,3.13
173,Bafoulabe,ML,97.25,overcast clouds,13.8065,-10.8321,25,97,3.44
174,Faya,SA,69.91,scattered clouds,18.3851,42.4509,45,40,1.43
175,Kiruna,SE,40.12,overcast clouds,67.8557,20.2251,70,100,16.11
176,Fethiye,TR,58.87,few clouds,36.6217,29.1164,63,15,3.11
177,Norheimsund,NO,50.95,light rain,60.3709,6.1456,81,100,4.59
178,Vila Franca Do Campo,PT,63.01,clear sky,37.7167,-25.4333,83,1,3.91
179,Upernavik,GL,25.74,light snow,72.7868,-56.1549,96,100,3.38
180,Muli,MV,84.31,overcast clouds,2.9167,73.5667,79,100,21.43
181,Ituacu,BR,71.87,overcast clouds,-13.8133,-41.2967,68,87,5.77
182,Buenos Aires,AR,65.95,clear sky,-34.6132,-58.3772,73,0,8.05
183,Llandrindod Wells,GB,55.38,light rain,52.2416,-3.3787,88,100,12.8
184,Thiadiaye,SN,72.41,few clouds,14.4205,-16.7056,55,15,9.89
185,Gamba,GA,78.48,overcast clouds,-2.65,10.0,91,87,7.29
186,Cobourg,DE,55.38,scattered clouds,50.2667,10.9667,68,40,1.01
187,Thurso,GB,52.05,broken clouds,58.5927,-3.5259,82,69,13.33
188,Goure,NE,82.76,clear sky,13.9835,10.2704,47,6,8.59
189,Bam,IR,74.34,clear sky,29.106,58.357,18,0,7.99
190,Hofn,IS,46.72,overcast clouds,64.2539,-15.2082,79,100,6.87
191,Qaqortoq,GL,34.66,scattered clouds,60.7167,-46.0333,87,29,4.94
192,Walvis Bay,NA,70.75,clear sky,-22.9575,14.5053,26,1,6.91
193,Valparaiso,CL,62.24,clear sky,-33.0393,-71.6273,77,0,1.14
194,Siniscola,IT,54.95,clear sky,40.5719,9.6922,76,8,4.72
195,Lebu,CL,52.66,overcast clouds,-37.6167,-73.65,89,92,13.71
196,Camopi,GF,72.55,broken clouds,3.1655,-52.3158,99,67,2.53
197,Torbay,CA,39.27,few clouds,47.6666,-52.7314,57,20,3.44
198,Tres Lagoas,BR,71.38,clear sky,-20.7511,-51.6783,57,4,4.83
199,Vila Velha,BR,73.35,clear sky,-20.3297,-40.2925,68,0,9.22
200,Viana,BR,73.17,few clouds,-20.3903,-40.4961,88,18,4.81
201,Sawakin,SD,84.02,clear sky,19.1059,37.3321,36,4,6.08
202,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,88,75,3.44
203,Inirida,CO,73.67,overcast clouds,3.8653,-67.9239,98,100,2.68
204,Minsk,BY,37.15,clear sky,53.9,27.5667,62,9,6.46
205,Letlhakane,BW,55.49,clear sky,-21.4167,25.5833,17,0,7.65
206,Krasnoselkup,RU,34.9,overcast clouds,65.7,82.4667,100,100,11.01
207,Buckie,GB,53.38,broken clouds,57.6757,-2.9624,66,79,10.67
208,Vilcun,CL,48.94,overcast clouds,-38.65,-72.2333,91,99,2.55
209,Mezen,RU,27.01,few clouds,65.8522,44.24,93,15,4.47
210,Ouadda,CF,71.65,overcast clouds,8.0777,22.4007,71,86,2.59
211,Aleksandrov Gay,RU,52.07,overcast clouds,50.147,48.5704,55,100,15.12
212,Svecha,RU,39.27,overcast clouds,58.2785,47.5164,95,93,10.94
213,Sorland,NO,42.66,light rain,67.667,12.6934,93,100,29.1
214,Vagay,RU,49.03,scattered clouds,57.9375,69.0217,58,39,3.94
215,Dergachi,RU,50.31,overcast clouds,51.2328,48.7659,65,100,3.89
216,Teeli,RU,38.32,clear sky,51.0333,90.2333,39,0,1.14
217,Sao Felix Do Xingu,BR,75.9,scattered clouds,-6.6447,-51.995,78,46,2.13
218,Coquimbo,CL,58.73,clear sky,-29.9533,-71.3436,82,0,2.3
219,Maniitsoq,GL,31.32,light snow,65.4167,-52.9,98,100,10.6
220,Springbok,ZA,55.24,broken clouds,-29.6643,17.8865,34,63,6.38
221,Aqtobe,KZ,51.89,overcast clouds,50.2797,57.2072,93,100,17.9
222,Adrar,MR,84.7,broken clouds,20.5022,-10.0711,9,58,11.56
223,Sao Jose Do Egito,BR,69.13,overcast clouds,-7.4789,-37.2744,74,98,7.27
224,Marawi,PH,76.5,overcast clouds,7.9986,124.2928,81,92,2.21
225,Santa Maria,BR,65.5,broken clouds,-29.6842,-53.8069,82,75,3.44
226,Caranavi,BO,62.73,scattered clouds,-15.8167,-67.55,93,38,2.86
227,Bonavista,CA,34.79,clear sky,48.6499,-53.1147,64,3,5.01
228,Portland,US,54.68,broken clouds,45.5234,-122.6762,74,75,13.8
229,Shubarshi,KZ,53.53,overcast clouds,48.5872,57.1869,91,95,18.23
230,Nyazepetrovsk,RU,48.96,overcast clouds,56.0531,59.6028,47,99,10.49
231,Millinocket,US,68.11,clear sky,45.6573,-68.7098,17,0,6.91
232,Schwerin,DE,56.82,scattered clouds,53.6294,11.4132,68,39,3.0
233,Colares,PT,62.89,overcast clouds,38.7992,-9.4469,66,93,15.01
234,Kjollefjord,NO,33.85,overcast clouds,70.9457,27.3465,92,94,1.39
235,Belovo,RU,39.96,clear sky,54.4165,86.2976,42,0,4.97
236,Aguas Formosas,BR,67.44,overcast clouds,-17.0822,-40.9358,93,98,4.21
237,Miraflores,MX,84.02,broken clouds,19.2167,-98.8083,27,54,3.4
238,Ampanihy,MG,64.45,clear sky,-24.7,44.75,96,0,6.08
239,Beisfjord,NO,43.05,overcast clouds,68.3751,17.5988,99,100,4.61
240,Shache,CN,70.07,clear sky,38.4167,77.2406,29,4,7.07
241,Hurghada,EG,82.44,clear sky,27.2574,33.8129,14,0,6.91
242,Surat,IN,85.23,overcast clouds,21.1667,72.8333,64,90,1.28
243,Amapa,BR,71.94,heavy intensity rain,1.0,-52.0,99,100,1.74
244,Iguape,BR,68.85,few clouds,-24.7081,-47.5553,86,18,9.37
245,Havoysund,NO,34.03,light snow,70.9963,24.6622,97,99,3.87
246,Saint John,CA,58.23,few clouds,45.2727,-66.0677,28,20,10.36
247,Conde,BR,76.46,clear sky,-7.2597,-34.9075,83,0,6.91
248,Duma,CN,50.43,overcast clouds,34.7653,108.135,82,90,2.89
249,Taoudenni,ML,86.0,clear sky,22.6783,-3.9836,11,1,10.98
250,Mozarlandia,BR,80.4,broken clouds,-14.7447,-50.5706,48,55,3.8
251,Chimbarongo,CL,54.48,overcast clouds,-34.7,-71.05,82,92,3.2
252,Dondo,MZ,64.42,clear sky,-19.6094,34.7431,92,0,2.68
253,Ardesen,TR,53.49,overcast clouds,41.1911,40.9875,83,93,5.26
254,Buzmeyin,TM,60.53,broken clouds,38.0507,58.2056,63,75,6.91
255,Sarkand,KZ,59.4,scattered clouds,45.41,79.9186,49,39,3.83
